ID,CTF,Previous CTF?,Hands-on helpful,Hands-on learn CS,Hands-on learn CSec,Experience,Instruction Set,Completion,Thought process,Time spent,Better understanding w/ other approach?,Difficulty rating,Familiarity,RSA theory understanding improvement,RSA implementation understanding improvement,RE understanding Improvement,More guidance (short)?,More guidance?,Less guidance?,Changes?,Likes/Dislikes
1,CC,y,y,y,y,"I created a self-signed certificate for a personal website, on my own time. I had no familiarity with the topic, and my only guidance was guides I found online. Going through the process myself definitely improved my understanding of the topic, but I skipped over all of the math behind it, since I didn't ""need"" to know it to accomplish my goal. Being forced to understand that would have probably helped more.",0,None,x,5,y,4,"I was familiar with the protocols involved, from using SSH keys and web certificates. I've been introduced to some of the theory in a number theory class I took in undergrad, but since that was 7 years ago now, I've forgotten most of it.",Slight,Slight,x,y,"I would have benefited a LOT from more guidance. I think I needed more learning materials and ""hand-holding"" than what I got from the simple wikipedia page, in order to get a good grasp on what I should be doing with the encrypted values sniffed from wireshark. I had to do a lot of research on my own, which took a lot of time, and having some pre-selected reading would have been useful. I believe I was eventually able to solve for the private key (d=152799867178667) correctly but then got tripped up with the xor part and couldn't spend more time on the CTF.",I would have been completely lost.,"Walking through an example of how a message would be encrypted and decrypted with an example value of N, e, that also includes the xor operation (which was what tripped me up in this exercise) would have been helpful. ","I like the idea of a hands-on activity, but I think I didn't have enough background knowledge to teach myself the material for this one on the fly. Having someone to work on this with might help - I always find it's easier to learn new ideas when you're not working alone. What I mainly disliked was I felt very ""in over my head"", and that I didn't have enough guidance to know where to start."
10,CC,y,y,y,y,"It was with Open SSL cryptography. I had no prior experience to it, and was not familiar with its tools. Only knowledge was a general knowledge of cryptographic methods. There was plenty of guidance as it gave many sources to aid our understanding of the tool. It was completed as a lab on our own time. It was a very effective utilization of the time, and helped me improve my knowledge on the topic because we had a real hands-on example of how to encrypt then decrypt messages.",0,None,x,2,y,4,"I'm very familiar with RSA and public key cryptography. I've re-created the RSA algorithm as an exercise in a previous class, and it had to be able to successfully create the proper output based on some input examples given.",None,slight,x,y,"It would have helped me, since even if it required aid or guidance to reach the end of the exercise, the act of obtaining the result we want from the steps leading up to it gives clarity on how it would work in real life. Even if we know it in theory, it would allow me to have further familiarity on how to deal with such problems. So guidance would be very useful.","It would have led to requiring more time for the same learning experience. Usually having clear guidelines on the goal, and some knowledge of the set up goes a long way on attempting the problem. If we had less than what we had now, it would have been significantly harder on how to tackle this issue, and it'd be more so figuring the problem out than doing the problem.",Perhaps further guidance on what direction to go so that a more productive us of my time is done when doing this CTF.,"I appreciated the .sh file which starts the general procedure for us. I liked the way the problem is designed, with multiple computers instead of dealing with one client and a simple input/output problem of the RSA algorithm. Had no particular dislikes, except perhaps more guidance to point us in the right direction."
11,CC,n,y,y,y,"I have had no experience with cybersecurity topics prior to this class. The assignments for this class gave lots of guidance. The start of the assignments were very clear with their instructions on how to use certain tools. As we continued in the semester, the instructions became less clear and expected results more ambiguous. These were completed as an assignment during my own time. This activity was an effective way to utilize my time. However, if I was busy or stressed, the guidance from earlier assignment became a crutch and I ended up rushing to complete the assignment rather than really comprehend the material. These assignments did help my understanding of these topics.",0,None,x,3,,3,,great,slight,x,y,I think it would have greatly improved my learning. I think learning how to apply theory is a very different task than simply learning the theory. ,I think I would have struggled even more than I already initially did. The wikipedia page and videos helped me understand.,n/a,"I liked learning about the RSA algorithm. I disliked how often I would get the error ""Data written to the pipe is neither in a supported in a supported pcap format nor in pcapng format"". This really pushed me away from continuing the CTF. I tried revisiting the CTF at a later date only for me to constantly get this error."
3,CC,y,y,y,y,"For Computer Science I used hands on learning experience while learning GCP and AutoML. Google has labs and documentation to learn those. I was not familiar with either, I just knew the basics of which tab does what. The step-by-step instructions helped me explore once I knew what I was doing as the tasks in labs had detailed explanation. Doing hands-on lab works better for me otherwise I get saturated. And, yes I feel hands-on lab is better utilization of time alongside basic knowledge. Would not suggest  without any background else my confidence goes down. To learn cybersecurity topics solving CTFs this semester in class were extremely useful. Got to learn about tools I was otherwise unaware of. Plus got to learn about similar tools and explore.",0,User 1,x,2,n,3,I am familiar with how RSA works (math behind it). ,slight,slight,x,y,With more guidance and more time investment I would have learnt better.,Not sure because most of the CTFs I solved had less guidance and I still managed to solve. ,No improvement required.,I like the challenge just the timing of homework was bad otherwise could have invested more time. Noting to dislike.
2,CC,y,y,y,y,"Usually I had been taught the materil in lecture prior, so I had some base level understanding. Some CS classes very little guidance and others (especially earlier classes) were heavily guided. Some were completed in a lab setting and some as an assignment. I feel the most useful hands-on activities are introduced with theory in class with optional resources provided on syntax or tools. A clear goal is always necassary and for larger projects, some recommended steps could be useful. I feel in computer science, hands on activities are incredibly important in understanding a topic. I personally learn the most by doing and would be quite lost on exams etc. without hands on projects",1,None,x,1,y,4,I got a base level introduction in CS 460 and digital forensics. I am not very strong on the mathematics of cryptography but understand its purpose and how authentication using it works.,None,Slight,x,y,"I feel I would have learned more, I am not very strong on mathematics so the modulus n tip for cracking user 0 was not very helpful to me.",I may have taken more time as I felt I relied too heavily on trying to figure out the tip had me lost.,"For a person with a stronger math background, this would have been an easier task. Maybe some more information about RSA cryptography specific to the task would have been helpful instead of linking the Wikipedia page.","I liked that it implored me to use my skills in 561 on a security topic outside of the class. Using a CTF to learn about cryptography I think is a good idea, maybe just a little more guidance for my case."
9,CC,y,y,y,y,"- I was not familiar with the material and topics being taught - The guidance was comprehensive and detailed. - The activities were mostly completed as homework on my own time - It was definitely an effective way and a very good investment of the time. - Yes, it helped improve the understanding of the topic - it helped ,understand the topic from a technical perspective on ""How It's Done"" but not ""Why it is done"" ",1,User 1,x,8-10,n,4,"In a previous class(COMPSCI 597N-Computer and Network Security), we learned about RSA in theory and in depth. We also had a programming assignment to simulate the calculation of public and private keys, then encrypt and decrypt some integers. However, this activity (CTF) can teach you how the RSA parameters exchange happen on the packet level using packet tracing. I think both methods of teaching can complete each other but not replace one another",None,great,x,y,"I think more guidance would have helped more. If the purpose is to learn an algorithm or protocol, i think guidance is essential so student do not make bad assumptions and rely on Internet tools to provide their answers. for example. There are Online RSA Calculators that students can use as shortcuts to complete this CTF, but then they would not learn about the topic by getting their hands dirty","I think  the impact would be negative with less guidance. Like i mentioned above, with less guidance , students tend to use the Internet for tools that provide results instead of resources to understand the nuts and bolts of the topic","I think it is a great challenge, but I would make my instructions a bit more clear and give more examples when possible. more examples means less guessing and making wrong assumptions","I liked the structure of it and the use of wireshark for tracing and tracking the parameters for the RSA. I also liked the challenge description section. What i did not like and still think is not very clear is the protocol description section, which i think can be  written better with clear example and maybe some diagram. I also had issues connecting using the script and spent 2 out of 8 hours over trying resolving ssh connection issues. "
4,CC,y,y,y,y,I  participated in hands on activities for COMPSCI 561. - I was not at all familiar with the material. - Complete and step by step guidance was given. - Activity was completed as an assignment at home. - This activity was the perfect use of my time. - It helped improve my understanding.,1,Yes,x,10,y,3,"I have studied it in my undergrad, but had completely forgotten about its working.",great,great,x,~y,"More guidance would be comlete hand-holding, and will help me learn but hinder my ability to figure out solutions on my own.",Less guidance would mean that I would be completely stuck and will have no source to start understanding the concepts.,"The challenge was fun and knowledgable, but it needs more documentation. For example, I got stuck with trivial issues like which key should be padded or not, if these are made more clear then the user can focus on the problem to be solved.","As mentioned above, sometimes, it was unclear to understand where padding was expected and where no padding was expected. As a result, even though the actual task could be solved, yet it was tough to retrieve the answer correctly."
12,CC,n,n,n,n,Very familiar. There was enough guidance given. On my own time. Yes it was an effective way. Yes it helped my understanding of the topic further.,1,Yes,x,6,No I think the CTF was a much better learning experience to learn the internal workings,3,Was very familiar with RSA before this as I had taken a course in Umass in which it was taught quite in depth 597N taught by Prof Kermani,None,great,x,~,I think it would not have impacted my learning,It would have taken more time and effort to complete it,I was able to do the entire challenge just by using online rsa decoders present on the internet. I would have liked it if we were forced to code the decryption process ourselves,"Liked that we got to learn the various ways in which RSA can be broken. Disliked that the initial start to get the challenge was difficult, it was difficult to understand what exactly was happening and how I needed to get the data. There was also some problem in which the wireshark process kept giving the error statement probably cause many people were trying it at the same time."
5,CC,n,n,n,n,"For learning cybersecurity topics, this course cs561 has a lot of hands on experiments as homework which is really helpful. I am not familiar with cybersecurity at all before I took this course. I get around 60% percent guidence from the lecture and textbook and 40% from online search result. It was in my own time as an assignment/homework. Yes, I do. Becasue this course meet once a week so the lecture time is quite limited. Yes it did. It improve my understanding ver much.",2,None,x,3,"Yes, I will start from something easier.",4,I have never learned RSA and key cryptography before. ,slight,none,x,y,Yes it will be great if more guidence can be provided. At least if I can make some partial achievement I will definitely invest more time on this project.,"I think the hint is not very helpful and since I did not make it, I still can not make it if I have less guidence. So no impact.","Yes I think they are too challenging for people with no background of cybersecurity so it aim not for everyone. It would be great if more introduction and tutorial about how to move forward even if get stuck at some point are provided. I think it should at least make the first step very easy to acheive, which is not the case for me. ",I have connection issues from wireshark which is discussed on piazza. The place that I dislike is that it is too difficult for me to solve. What I like is that it use wireshark which is used a lot in this course and assignment. It is great to use a tool that I am familiar with.
6,CC,y,y,y,y,"Experience - As part of COMPSCI 561, I got hands-on experience on system hacking concepts likes password cracking, arp/dns poisoning etc. Solving CTF challenges enhance the conceptual understanding of several topics like Buffer overflow, etc. My survey project was on privilege escalation where I did 2 small labs on exploiting sudo access and unquoted service path vulnerability. 1. I had basic networking and cryptography knowledge. But this is my first experience with system hacking course. I didn't know about any of the hacking techniques taught is class beforehand. 2. For this course COMPSCI 561, hands-on activities involved labs and CTFs. Labs were fully guided and we had reference text book to refer to the concepts and commands. Did not get much guidance on CTF challenges. 3. Activities were complete on my own time outside class. 4. I learned a lot from CTF challenges and lab. So it was worth the time. 5. Yes, this way of learning was long lasting. It definitely enhanced my understanding of the topic.",2,None,x,6-8,n,5,I never had hands-on experience with RSA or divulged in math of it. I only did a theoretical study of this topic in undergrad most of which I could not recall.,great,great,x,n,would have restricted the learning in the sense I would not have googled various concepts and vulnerabilities associated with key length.,That would have stagnated the process all together as there would also not be any help on what to google.,none,Like - the use of RSA for the challenge and various levels of exploitation. Dislike - Math behind encryption keys
